date,disease,references,notes,Metric_Type,Source_File,number of patients
01-2004,Share of population who are overweight,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",1539.4
01-2004,Share of population who are overweight or obese,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",2294.9
01-2005,Alcohol consumption,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",440.3
01-2005,Annual income,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",79264990.87
01-2005,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",10914427.9
01-2005,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",998764.57
01-2005,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",352742.39
01-2005,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1",36748102.3
01-2005,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1",1038163.07
01-2005,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1",513010.81
01-2005,Hospital employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",44501676.51
01-2005,Hospitals,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",82752.8
