date,disease,references,notes,Metric_Type,Source_File,number of patients
01-2007,Share of population who are overweight or obese,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",2881.3
01-2008,Alcohol consumption,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",451.3
01-2008,Annual income,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",122579957.38
01-2008,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1",638188.95
01-2008,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1",1440227.79
01-2008,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1",47216009.75
01-2008,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",1260520.76
01-2008,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",12557675.45
01-2008,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",443016.64
01-2008,Hospital employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",48425080.1
01-2008,Hospitals,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",93195.65
01-2008,Share of population who are obese,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",1853.3
01-2008,Share of population who are overweight,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",2603.8
01-2008,Share of population who are overweight or obese,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",3852.4
01-2009,Alcohol consumption,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",436.4
01-2009,Annual income,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",123209469.68
01-2009,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",12397459.32
01-2009,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",1122222.42
01-2009,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",396447.91
01-2009,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1",42797380.1
01-2009,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1",1305289.72
01-2009,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1",666371.94
01-2009,Hospital employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",54821364.56
01-2009,Hospitals,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",94677.4
01-2009,Share of population who are obese,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",1450.2
01-2009,Share of population who are overweight,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",2163.8
01-2009,Share of population who are overweight or obese,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",3314.1
01-2010,Alcohol consumption,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",431.6
01-2010,Annual income,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",612853631.39
01-2010,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1",700687.06
01-2010,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1",1545848.63
01-2010,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1",47992196.05
01-2010,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",1324235.41
01-2010,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",13069989.13
01-2010,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",468245.24
01-2010,Hospital employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",55920280.36
01-2010,Hospitals,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",120068.59
01-2010,Share of population who are obese,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",1458.5
01-2010,Share of population who are overweight,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",2052.1
01-2010,Share of population who are overweight or obese,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",2882.0
01-2011,Alcohol consumption,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",435.7
01-2011,Annual income,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",979666339.57
01-2011,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1",1559879.41
01-2011,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1",46896128.730000004
01-2011,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1",766023.35
01-2011,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",1200959.04
01-2011,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",12838438.87
01-2011,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",443622.87
01-2011,Hospital employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",56875162.85
01-2011,Hospitals,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",118991.82
01-2011,Share of population who are obese,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",1280.1
01-2011,Share of population who are overweight,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",1584.8
01-2011,Share of population who are overweight or obese,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW,1.0",2378.1
01-2012,Alcohol consumption,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",434.0
01-2012,Annual income,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",1024246743.1
01-2012,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",13959027.8
01-2012,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",1473775.24
01-2012,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",468661.67
